镜号,景别,时长,画面内容,音效,旁白 / 台词
1,远景,4s,远景，残阳暮色下，破败的大观园朱漆大门斑驳脱漆，铜制门环锈迹斑斑，暮年贾宝玉身着素色僧袍，身形孑然一身立在门前，抬眼望向门内，萧瑟秋风卷起落叶，残阳暖光与冷调破败建筑形成强烈对比，苍凉氛围感拉满，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,萧瑟风声,【旁白】一别经年，我又回到了这大观园
2,中近景,3s,中近景，侧拍视角，暮年贾宝玉抬手，枯瘦的指尖触到冰冷生锈的门环，正缓缓推开沉重的朱漆大门，门轴缝隙清晰可见，画面聚焦手部与门环的接触，人物侧影轮廓清晰，素色僧袍衣袂被风吹动，冷调暗光影，斑驳大门纹理细节拉满，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,门轴吱呀声，风声持续,无
3,中景,4s,中景，跟拍视角，暮年贾宝玉身着素色僧袍，缓步走入大观园，脚下是积了厚厚落叶的石质甬道，行至沁芳闸石桥边，目光落在桥身斑驳的石刻上，身旁是残溪流水，满地枯黄落叶，萧瑟秋风，冷调光影，中式古典石桥细节清晰，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,落叶踩踏声，残溪流水声,【旁白】当年这园子里的一亭一榭，皆是我亲手题的匾额
4,闪回・近景,5s,近景，明亮暖调光影，色彩鲜活明媚，盛世大观园盛景，少年贾宝玉，与参考图一致的黑发束金冠配红珠，红白相间的古风锦袍，手持折扇，眉眼俊朗，立于石桥上提笔落墨，快速切换「沁芳」「有凤来仪」「怡红快绿」的毛笔手写字特写，身后贾政与清客颔首赞许，廊下林黛玉、薛宝钗等姐妹掩口轻笑，画面鲜活热闹，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,毛笔落纸声，少年笑语声,无
5,现实・特写,4s,特写镜头，冷调萧瑟光影，暮年贾宝玉枯瘦的指尖，轻轻抚过石桥石刻上模糊的「沁芳」二字，指腹蹭过斑驳粗糙的石面，石面风化纹理细节拉满，指尖皮肤褶皱清晰，背景虚化，风声氛围感，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,风声持续,无
6,闪回・蒙太奇 1,4s,明亮暖调光影，色彩清新雅致，潇湘馆内，湘帘垂地，窗外竹影婆娑，少年林黛玉正教丫鬟紫鹃调教鹦鹉念诗，少年贾宝玉，与参考图一致的黑发束金冠配红珠，红白相间的古风锦袍，手持折扇，倚在门边，眉眼带笑温柔望着屋内，画面温馨鲜活，中式古典潇湘馆竹林庭院，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,鹦鹉学舌声，黛玉轻笑声,【旁白】那时候，处处都是姐妹们的笑语
7,闪回・蒙太奇 2,4s,明亮暖调光影，色彩浓烈鲜活，热闹氛围感，怡红院内，红香绿玉，繁花盛放，群芳夜宴，大观园的姑娘们围坐桌前行酒令，史湘云醉卧芍药裀的画面碎片闪过，少年贾宝玉，与参考图一致的黑发束金冠配红珠，红白相间的古风锦袍，手持酒杯笑着应和众人，杯盏碰撞，满室欢腾，中式古典宴会场景，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,杯盏碰撞声，众人欢笑声,无
8,闪回・蒙太奇 3,4s,明亮暖调光影，色彩清新柔和，蘅芜苑内，异草芬芳，雅致古典庭院，薛宝钗垂眸与丫鬟莺儿一同编竹篮，少年贾宝玉，与参考图一致的黑发束金冠配红珠，红白相间的古风锦袍，递过一枝新开的茉莉，薛宝钗抬眼温柔浅笑，画面静谧温馨，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,竹条弯折声，轻柔笑语声,无
9,闪回・蒙太奇 4,4s,明亮暖调光影，色彩温馨质朴，稻香村内，桑麻遍野，田园古风庭院，李纨带着贾迎春、贾惜春在案前作画，少年贾宝玉，与参考图一致的黑发束金冠配红珠，红白相间的古风锦袍，凑在一旁指着画纸说笑，众人围在一起笑作一团，画面鲜活热闹，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,笔尖摩挲纸声，软语欢笑声,无
10,现实・全景,5s,全景镜头，冷调萧瑟光影，残阳暮色，猛地切回当下，暮年贾宝玉身着素色僧袍，站在荒草没膝的怡红院旧址，雕梁朽坏，窗棂尽碎，满院只剩断壁残垣，再无半分当年盛景，秋风卷起荒草，寒鸦落在断梁上，苍凉荒芜氛围感拉满，与闪回画面形成强烈对比，国风动漫风格，与参考图统一人物画风，线条流畅细腻，色彩层次丰富，电影级光影氛围，4K高清，16:9电影画幅,风声陡然变大，寒鸦鸣叫声,【旁白】如今亭台犹在，却只剩满目荒芜
